Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
miracle,vocab/miracle.mp3,Noun,…a modern-day **miracle**…,(奇蹟/奇迹),S4 P1,A2/T-1,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
half-wit,vocab/half-wit.mp3,Noun,…being the class **half-wit**…,(笨蛋/笨蛋),S1 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
smart-alec,vocab/smart-alec.mp3,Noun,…became class **smart-alec** instead.,(自以為是的人/自以为是的人),S1 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
accusation,vocab/accusation.mp3,Noun,…attracted **accusations** of being teacher's pet…,(指責/指责),S1 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
alas,vocab/alas.mp3,Adverb,"It was true, **alas**…",(唉/唉),S1 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
caned,vocab/caned.mp3,Verb,…who was **caned** regularly…,(用藤條打/用藤条打),S2 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
transgression,vocab/transgression.mp3,Noun,…for more serious **transgressions**…,(過錯/过错),S2 P1,C1/T-3,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
stroke,vocab/stroke.mp3,Noun,…up to four **strokes** of the cane…,(抽打/抽打),S2 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
recapture,vocab/recapture.mp3,Verb,…had to be **recaptured** after each stroke…,(重新抓住/重新抓住),S3 P1,B2/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
howling,vocab/howling.mp3,Adjective,Thommo was led **howling** away…,(嚎叫的/嚎叫的),S4 P1,B1/T-2,CliveJames,DSEPastPaper1 CliveJames 2019 SB2 T5 Vocabulary,Vocabulary
heather,vocab/heather.mp3,Noun,…beehives on the **heather** moor…,(石南花/石南花),S1 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
starkly,vocab/starkly.mp3,Adverb,…these **starkly** beautiful moors…,(荒涼地/荒凉地),S1 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
fragrance,vocab/fragrance.mp3,Noun,…room-filling **fragrance**…,(香味/香味),S1 P1,B1/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
gel-like,vocab/gel-like.mp3,Adjective,…unique **gel-like** texture…,(凝膠狀的/凝胶状的),S1 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
tweed,vocab/tweed.mp3,Noun,…hairy **tweed** cap…,(粗花呢/粗花呢),S3 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
barbed,vocab/barbed.mp3,Adjective,The **barbed** lancets…,(帶倒刺的/带倒刺的),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
lancet,vocab/lancet.mp3,Noun,…**lancets** dig into the skin…,(刺針/刺针),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
straggle,vocab/straggle.mp3,Verb,…the insect **straggles** towards death…,(蹣跚/蹒跚),S4 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
apiarist,vocab/apiarist.mp3,Noun,The armour of the **apiarist**…,(養蜂人/养蜂人),S5 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
hessian,vocab/hessian.mp3,Noun,…piece of **hessian** sacking…,(粗麻布/粗麻布),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
bellows,vocab/bellows.mp3,Noun,…smoker formed like a pair of miniature **bellows**…,(風箱/风箱),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
lull,vocab/lull.mp3,Verb,The smoke can help **lull** the bees.,(使平靜/使平静),S7 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
claustrophobic,vocab/claustrophobic.mp3,Adjective,The bee-suit is slightly **claustrophobic**…,(令人窒息的/令人窒息的),S9 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
visceral,vocab/visceral.mp3,Adjective,…sudden sight of bees flying onto the net **visor**…,(護面/护面),S9 P1,B1/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
berserk,vocab/berserk.mp3,Adjective,"The bees, in the meantime, go purposefully **berserk**.",(發狂/发狂),S8 P1,B2/T-2,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
zinging,vocab/zinging.mp3,Verb,"***Zinging***, small, aggressive atoms…",(嗡嗡飛射/嗡嗡飞射),S8 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
unrelenting,vocab/unrelenting.mp3,Adjective,Their persistence is **unrelenting**.,(不懈的/不懈的),S8 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
chink,vocab/chink.mp3,Noun,…seek the vulnerable **chink***…,(裂縫/裂缝),S9 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
bracken,vocab/bracken.mp3,Noun,…gentle sweeps of **bracken**…,(歐洲蕨/欧洲蕨),S11 P1,C1/T-3,HeatherHoney,DSEPastPaper1 HandPollination 2018 B2 T6 Vocabulary,Vocabulary
pollination,vocab/pollination.mp3,Noun,Farmers Resort to Hand **Pollination**,(授粉/授粉),Title,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
blossom,vocab/blossom.mp3,Noun,…went from **blossom** to blossom…,(花朵/花朵),S5 P2,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
pollen,vocab/pollen.mp3,Noun,…to spread **pollen**…,(花粉/花粉),S5 P2,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
shocker,vocab/shocker.mp3,Noun,What they learned was a **shocker**.,(令人震驚的事/令人震惊的事),S7 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
cross-pollination,vocab/cross-pollination.mp3,Noun,…performed **cross-pollination** more efficiently…,(異花授粉/异花授粉),S7 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
dependable,vocab/dependable.mp3,Adjective,"Bees, you should know, are less **dependable**.",(可靠的/可靠的),S7 P1,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
critter,vocab/critter.mp3,Noun,…there are some **critters** we humans don't really need…,(小生物/小生物),S9 P1,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
hung up,vocab/hung up.mp3,Adjective,…let's not get **hung up** on biological diversity…,(糾結/纠结),S9 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
biologically shrunken,vocab/biologically shrunken.mp3,Adjective,…a **biologically shrunken** world.,(生物縮減的/生物缩减的),S9 P1,C1/T-3,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
conservationist,vocab/conservationist.mp3,Noun,The **conservationists** said…,(環保主義者/环保主义者),S11 P1,B2/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
logic,vocab/logic.mp3,Noun,…the **logic** of the market…,(邏輯/逻辑),S11 P1,B1/T-2,HandPollination ,DSEPastPaper1 HandPollination 2018 B2 T5 Vocabulary,Vocabulary
coin,vocab/coin.mp3,Verb,…are widely credited with **coining** the term 'Millennial Generation'…,(創造/创造),S1 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
landmark,vocab/landmark.mp3,Adjective,…their **landmark** research on generational types…,(里程碑式的/里程碑式的),S1 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
complementary,vocab/complementary.mp3,Adjective,…are **complementary**…,(互補的/互补的),S1 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
foist,vocab/foist.mp3,Verb,…not because childbearing was **foisted** upon them.,(強加於/强加于),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
ubiquitous,vocab/ubiquitous.mp3,Adjective,…the **ubiquitous** 'Baby On Board' car bumper stickers.,(無處不在的/无处不在的),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
catalyst,vocab/catalyst.mp3,Noun,…as the **catalyst** for this characteristic…,(催化劑/催化剂),S4 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
wholeheartedly,vocab/wholeheartedly.mp3,Adverb,…they embrace this specialness **wholeheartedly**.,(全心全意地/全心全意地),S3 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
exuberant,vocab/exuberant.mp3,Adjective,…their **exuberant** confidence…,(洋溢的/洋溢的),S6 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
flaunt,vocab/flaunt.mp3,Verb,…more likely to **flaunt** society's conventions.,(炫耀無視/炫耀无视),S5 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
crushing,vocab/crushing.mp3,Adjective,…producing **crushing** disappointment.,(沉重的/沉重的),S7 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
safety net,vocab/safety net.mp3,Noun,…provided **safety nets** for failure…,(安全網/安全网),S7 P1,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
multi-tasking,vocab/multi-tasking.mp3,Noun,…the practice of **multi-tasking**…,(多任務處理/多任务处理),S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
natives,vocab/natives.mp3,Noun,Millennials are ***natives*** …,原住民/原住民,S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
immigrants,vocab/immigrants.mp3,Noun,…previous generations are 'digital ***immigrants***'.,移民/移民,S6 P2,B2/T-2,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
truism,vocab/truism.mp3,Noun,The clearest ***truism*** …,(不言而喻的道理/不言而喻的道理),S7 P1,C1/T-3,Millennials ,DSEPastPaper1 FoodTMillennials 2017 SB2 T5 Vocabulary,Vocabulary
risky,vocab/risky.mp3,Adjective,FOOD is **risky**.,(有風險的/有风险的),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
choke,vocab/choke.mp3,Verb,You can **choke** on a hot dog…,(噎住/噎住),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
poison,vocab/poison.mp3,Verb,…be **poisoned** by a pizza…,(中毒/中毒),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
expire,vocab/expire.mp3,Verb,…before its customers **expire**?,(死亡/死亡),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
frown,vocab/frown.mp3,Verb,…so many American cities **frown** on food trucks.,(不贊成/不赞成),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
cap,vocab/cap.mp3,Noun,…a **cap** on the number of food-truck licences…,(上限/上限),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
black market,vocab/black market.mp3,Noun,…has created a **black market**…,(黑市/黑市),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
intrepid,vocab/intrepid.mp3,Adjective,Your **intrepid** correspondent sampled injera…,(無畏的/无畏的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
garishness,vocab/garishness.mp3,Noun,Officials worry that their **garishness** will lower the local tone.,(俗麗/俗丽),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
filthy,vocab/filthy.mp3,Adjective,Many think they are just **filthy**…,(骯髒的/肮脏的),S7 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
sneer,vocab/sneer.mp3,Noun,…“roach coaches” is the **sneer**.,(嘲笑/嘲笑),S7 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
wrangling,vocab/wrangling.mp3,Noun,After years of legal **wrangling**…,(爭論/争论),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
mean-spirited,vocab/mean-spirited.mp3,Adjective,…the typically **mean-spirited** conditions…,(惡意的/恶意的),S8 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
immobile,vocab/immobile.mp3,Adjective,…to protect the **immobile** restaurant trade.,(固定的/固定的),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
misguided,vocab/misguided.mp3,Adjective,Such rules are **misguided**.,(被誤導的/被误导的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
aspiring,vocab/aspiring.mp3,Adjective,…an important step for **aspiring** entrepreneurs…,(有抱負的/有抱负的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
enlivened,vocab/enlivened.mp3,Verb,…food trucks have **enlivened** the gastronomic scene…,(使有生氣/使有生气),S9 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
roam,vocab/roam.mp3,Verb,…wherever they have been allowed to **roam**.,(遊走/游走),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
trend,vocab/trend.mp3,Noun,I've seen a lot of **trends** come and go.,(潮流/潮流),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
astonishingly,vocab/astonishingly.mp3,Adverb,…some **astonishingly** stupid trends have thrived.,(令人驚訝地/令人惊讶地),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
offender,vocab/offender.mp3,Noun,Here are some of the worst **offenders**.,(罪魁禍首/罪魁祸首),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ridiculous,vocab/ridiculous.mp3,Adjective,…the overall trend is both **ridiculous**…,(荒謬的/荒谬的),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
reprehensible,vocab/reprehensible.mp3,Adjective,"…and in some cases, morally **reprehensible**.",(應受譴責的/应受谴责的),S3 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
breakthrough,vocab/breakthrough.mp3,Noun,…some sort of **breakthrough** invention…,(突破/突破),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
akin,vocab/akin.mp3,Adjective,…they are nothing more than a way to deliver food… **akin** to the “invention” of home delivery…,(類似的/类似的),S3 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ethnic,vocab/ethnic.mp3,Adjective,…food trucks had brought affordable **ethnic** cuisine…,(民族的/民族的),S6 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ironically,vocab/ironically.mp3,Adverb,"**Ironically**, in many markets the food trucks do more harm than good…",(諷刺的是/讽刺的是),S7 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
cannibalizing,vocab/cannibalizing.mp3,Verb,…while **cannibalizing** hard-to-get public parking spots…,(侵佔/侵占),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
squatting,vocab/squatting.mp3,Verb,…and **squatting** on public property.,(非法佔用/非法占用),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
pedestrian-unfriendly,vocab/pedestrian-unfriendly.mp3,Adjective,…bringing quality dining selections to extremely **pedestrian-unfriendly** areas…,(不適合行人的/不适合行人的),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
redundant,vocab/redundant.mp3,Adjective,The real trend is the **redundant** food truck…,(多餘的/多余的),S9 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
absurd,vocab/absurd.mp3,Adjective,This strikes me as **absurd**.,(荒謬的/荒谬的),S10 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
fad,vocab/fad.mp3,Noun,More a **fad** than a trend…,(一時的風尚/一时的风尚),S11 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
tangible,vocab/tangible.mp3,Adjective,…I've yet to see any **tangible** benefits…,(實質的/实质的),S11 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
arrival,vocab/arrival.mp3,Noun,The **arrival** of food trucks to New York several years ago was greeted by a city hungry for refined street food…,(到来/到來),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
refined,vocab/refined.mp3,Adjective,…greeted by a city hungry for **refined** street food…,(精致的/精緻的),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
entrepreneur,vocab/entrepreneur.mp3,Noun,…willing to pay higher prices to reward hard-working culinary **entrepreneurs**.,(企業家/企业家),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
initially,vocab/initially.mp3,Adverb,"**Initially**, the food truck business model looked attractive.",(最初/最初),S2 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
attractive,vocab/attractive.mp3,Adjective,…the food truck business model looked **attractive**.,(有吸引力的/有吸引力的),S2 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
concept,vocab/concept.mp3,Noun,…allowed him and partner David Schillace to test out their **concept**…,(概念/概念),S2 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
explosive,vocab/explosive.mp3,Adjective,"As early adopters, the Mexicue crew saw **explosive** growth.",(爆炸性的/爆炸性的),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
skyscraper,vocab/skyscraper.mp3,Noun,…parked in midtown Manhattan surrounded by the **skyscrapers** that investment banks call their home…,(摩天大樓/摩天大楼),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
ferocious,vocab/ferocious.mp3,Adjective,Competition in New York City is **ferocious**…,(激烈的/激烈的),S4 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
regulator,vocab/regulator.mp3,Noun,…while **regulators** began to crack down on the industry.,(監管機構/监管机构),S4 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
exhausted,vocab/exhausted.mp3,Adjective,"**Exhausted** by the hustle, Schillace and Kelly made a U-turn…",(筋疲力盡的/筋疲力尽的),S5 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
brick-and-mortar,vocab/brick-and-mortar.mp3,Adjective,…in 2011 opened their first **brick-and-mortar** store.,(實體的/实体的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
volatile,vocab/volatile.mp3,Adjective,Next to the **volatile** food truck business…,(多變的/多变的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
inclement,vocab/inclement.mp3,Adjective,Without having to tough it out through **inclement** weather…,(惡劣的/恶劣的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
integral,vocab/integral.mp3,Adjective,"While the truck is no longer a cash cow, it remains **integral** to their brand and image.",(不可或缺的/不可或缺的),S6 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T8 Vocabulary,Vocabulary
risky,vocab/risky.mp3,Adjective,FOOD is **risky**.,(有風險的/有风险的),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
choke,vocab/choke.mp3,Verb,You can **choke** on a hot dog…,(噎住/噎住),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
poison,vocab/poison.mp3,Verb,…be **poisoned** by a pizza…,(中毒/中毒),S1 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
expire,vocab/expire.mp3,Verb,…before its customers **expire**?,(死亡/死亡),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
frown,vocab/frown.mp3,Verb,…so many American cities **frown** on food trucks.,(不贊成/不赞成),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
cap,vocab/cap.mp3,Noun,…a **cap** on the number of food-truck licences…,(上限/上限),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
black market,vocab/black market.mp3,Noun,…has created a **black market**…,(黑市/黑市),S3 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
intrepid,vocab/intrepid.mp3,Adjective,Your **intrepid** correspondent sampled injera…,(無畏的/无畏的),S5 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
garishness,vocab/garishness.mp3,Noun,Officials worry that their **garishness** will lower the local tone.,(俗麗/俗丽),S7 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
filthy,vocab/filthy.mp3,Adjective,Many think they are just **filthy**…,(骯髒的/肮脏的),S7 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
sneer,vocab/sneer.mp3,Noun,…“roach coaches” is the **sneer**.,(嘲笑/嘲笑),S7 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
wrangling,vocab/wrangling.mp3,Noun,After years of legal **wrangling**…,(爭論/争论),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
mean-spirited,vocab/mean-spirited.mp3,Adjective,…the typically **mean-spirited** conditions…,(惡意的/恶意的),S8 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
immobile,vocab/immobile.mp3,Adjective,…to protect the **immobile** restaurant trade.,(固定的/固定的),S8 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
misguided,vocab/misguided.mp3,Adjective,Such rules are **misguided**.,(被誤導的/被误导的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
aspiring,vocab/aspiring.mp3,Adjective,…an important step for **aspiring** entrepreneurs…,(有抱負的/有抱负的),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
enlivened,vocab/enlivened.mp3,Verb,…food trucks have **enlivened** the gastronomic scene…,(使有生氣/使有生气),S9 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
roam,vocab/roam.mp3,Verb,…wherever they have been allowed to **roam**.,(遊走/游走),S9 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T10 Vocabulary,Vocabulary
trend,vocab/trend.mp3,Noun,I've seen a lot of **trends** come and go.,(潮流/潮流),S1 P1,A2/T-1,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
astonishingly,vocab/astonishingly.mp3,Adverb,…some **astonishingly** stupid trends have thrived.,(令人驚訝地/令人惊讶地),S1 P1,C1/T-3,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
offender,vocab/offender.mp3,Noun,Here are some of the worst **offenders**.,(罪魁禍首/罪魁祸首),S1 P1,B2/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
ridiculous,vocab/ridiculous.mp3,Adjective,…the overall trend is both **ridiculous**…,(荒謬的/荒谬的),S3 P1,B1/T-2,FoodTruck ,DSEPastPaper1 FoodTruck 2016 SB2 T9 Vocabulary,Vocabulary
